Año;SemanaAño;IdCaptura;Rectangulo;RE;HKE;JAX;LEZ;MAC;OTROS;SQI;WHB
2018;1;36050;1,60E+04;'16E3';0;0;0;0;0;13,85;86,15
2018;1;36079;1,60E+04;'16E3';15,06;0;0;0;4,73;0;80,22
2018;1;36117;1,60E+02;'16E1';7,39;0;0;0;0;0;92,61
2018;1;36128;1,60E+04;'16E3';0,52;36,93;0;0;0;5,3;57,24
2018;1;36179;1,60E+04;'16E3';0;100;0;0;0;0;0
2018;1;36293;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;1;36379;1,60E+06;'16E5';0;0;0;0;11,11;0;88,89
2018;1;36398;1,60E+04;'16E3';28,99;0;17,03;0;53,99;0;0
2018;1;36418;1,50E+01;'15E0';4,91;0;0;0;0;0;95,09
2018;1;36438;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;1;36443;1,60E+03;'16E2';21,62;0;10,81;0;67,57;0;0
2018;1;36457;1,60E+05;'16E4';4,96;26,94;0;0;10,64;5,7;51,76
2018;1;36497;1,60E+03;'16E2';23,67;0;0;0;76,33;0;0
2018;1;36509;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;1;36517;1,50E+01;'15E0';4,54;0;4,01;0;91,45;0;0
2018;1;36518;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;1;36520;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;1;36524;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;1;36531;1,60E+08;'16E7';0;0;0;0;100;0;0
2018;1;36536;1,50E+01;'15E0';0;75;0;0;25;0;0
2018;1;36537;1,60E+05;'16E4';0,49;2,34;0;0;0,44;0;96,73
2018;1;36538;1,60E+05;'16E4';0;21,33;0;1,02;6,32;2,94;68,38
2018;1;36539;1,60E+05;'16E4';4,2;1,12;0;0;0;0;94,68
2018;1;36540;1,60E+07;'16E6';0;0;0;0;31,63;30,07;38,3
2018;1;36541;1,60E+08;'16E7';6,19;0;0;0;87,3;1,3;5,21
2018;1;36561;1,60E+08;'16E7';5,63;0;0;0;30,63;5,86;57,88
2018;1;36563;1,60E+06;'16E5';33,54;0;0;0;28,09;38,36;0
2018;1;36589;1,50E+08;'15E7';3,14;0;0;0;90,43;0;6,43
2018;1;36592;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;1;36593;1,60E+03;'16E2';0;0;50;0;50;0;0
2018;1;36613;1,50E+01;'15E0';0;0;0;0;0;0;100
