Año;Semestre;Cuatrimestre;Trimestre;Mes;SemanaAño;FcCaptura;IdStock;Stock;PesoCapturadoTotalDía;AcumuladoDía;CuotaStock;Porcentaje
2018;1;1;1;1;1;02/01/2018;99157877;JAX/08C.;7031;7031;25563080;0,03
2018;1;1;1;1;1;03/01/2018;99157877;JAX/08C.;23481;30512;25563080;0,12
2018;1;1;1;1;1;04/01/2018;99157877;JAX/08C.;5151;35663;25563080;0,14
2018;1;1;1;1;1;05/01/2018;99157877;JAX/08C.;2579;38242;25563080;0,15
2018;1;1;1;1;1;06/01/2018;99157877;JAX/08C.;276;38518;25563080;0,15
2018;1;1;1;1;1;07/01/2018;99157877;JAX/08C.;150;38668;25563080;0,15
2018;1;1;1;1;2;08/01/2018;99157877;JAX/08C.;33514;72182;25563080;0,28
2018;1;1;1;1;2;09/01/2018;99157877;JAX/08C.;43241;115423;25563080;0,45
2018;1;1;1;1;2;10/01/2018;99157877;JAX/08C.;30347;145770;25563080;0,57
2018;1;1;1;1;2;11/01/2018;99157877;JAX/08C.;8590;154360;25563080;0,6
2018;1;1;1;1;2;12/01/2018;99157877;JAX/08C.;8640;163000;25563080;0,64
2018;1;1;1;1;2;13/01/2018;99157877;JAX/08C.;823;163823;25563080;0,64
2018;1;1;1;1;2;14/01/2018;99157877;JAX/08C.;1176;164999;25563080;0,65
2018;1;1;1;1;3;15/01/2018;99157877;JAX/08C.;3682;168681;25563080;0,66
2018;1;1;1;1;3;16/01/2018;99157877;JAX/08C.;28290;196971;25563080;0,77
2018;1;1;1;1;3;17/01/2018;99157877;JAX/08C.;2750;199721;25563080;0,78
2018;1;1;1;1;3;18/01/2018;99157877;JAX/08C.;18207;217928;25563080;0,85
2018;1;1;1;1;3;19/01/2018;99157877;JAX/08C.;34881;252809;25563080;0,99
2018;1;1;1;1;3;21/01/2018;99157877;JAX/08C.;54;252863;25563080;0,99
2018;1;1;1;1;4;22/01/2018;99157877;JAX/08C.;19813;272676;25563080;1,07
2018;1;1;1;1;4;23/01/2018;99157877;JAX/08C.;59076;331752;25563080;1,3
2018;1;1;1;1;4;24/01/2018;99157877;JAX/08C.;23149;354901;25563080;1,39
2018;1;1;1;1;4;25/01/2018;99157877;JAX/08C.;18382;373283;25563080;1,46
2018;1;1;1;1;4;26/01/2018;99157877;JAX/08C.;2265;375548;25563080;1,47
